SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_1;127.0.0.1;1102;835;50;891
2;32;set0_get_1;127.0.0.1;1102;49;88;1000168
3;32;set0_get_1;127.0.0.1;1102;117;116;1000209
4;32;set0_get_1;127.0.0.1;1102;31;204;1000248
5;32;set0_get_1;127.0.0.1;1102;15;161;1000113
6;32;set0_get_1;127.0.0.1;1102;36;163;1000167
7;32;set0_get_1;127.0.0.1;1102;15;265;1000228
8;32;set0_get_1;127.0.0.1;1102;31;257;1000152
9;32;set0_get_1;127.0.0.1;1102;32;271;1000163
10;32;set0_get_1;127.0.0.1;1102;34;274;1000188
11;32;set0_get_1;127.0.0.1;1102;31;250;1000152
12;32;set0_get_1;127.0.0.1;1102;40;225;1000183
13;32;set0_get_1;127.0.0.1;1102;34;72;1000204
14;32;set0_get_1;127.0.0.1;1102;229;205;1000515
14;0;OFFLINE;127.0.0.1;1102;60;205;1000252
22;32;set0_get_1;127.0.0.1;1101;1240617;26;2241161
23;32;set0_get_1;127.0.0.1;1101;86;69;1000163
24;32;set0_get_1;127.0.0.1;1101;13;95;1000087
