SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_6;127.0.0.1;1102;3007;2259;3170
2;32;set0_get_6;127.0.0.1;1102;26;2342;1000142
3;32;set0_get_6;127.0.0.1;1102;37;2362;1000128
4;32;set0_get_6;127.0.0.1;1102;34;2347;1000168
5;32;set0_get_6;127.0.0.1;1102;16;2355;1000233
6;32;set0_get_6;127.0.0.1;1102;16;2305;1000118
7;32;set0_get_6;127.0.0.1;1102;32;2254;1000152
8;32;set0_get_6;127.0.0.1;1102;38;1953;1000166
9;32;set0_get_6;127.0.0.1;1102;33;2024;1000165
10;32;set0_get_6;127.0.0.1;1102;25;2068;1000138
11;32;set0_get_6;127.0.0.1;1102;25;1997;1000135
12;32;set0_get_6;127.0.0.1;1102;23;4213;1002263
12;0;OFFLINE;127.0.0.1;1102;43;4213;1000197
22;32;set0_get_6;127.0.0.1;1101;695805;25;1696428
23;32;set0_get_6;127.0.0.1;1101;215;102;1000304
24;32;set0_get_6;127.0.0.1;1101;13;106;1000108
