SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_3;127.0.0.1;1102;784;102;931
2;32;set0_get_3;127.0.0.1;1102;29;164;1000251
3;32;set0_get_3;127.0.0.1;1102;42;185;1000182
4;32;set0_get_3;127.0.0.1;1102;38;156;1000172
5;32;set0_get_3;127.0.0.1;1102;36;177;1000196
6;32;set0_get_3;127.0.0.1;1102;38;152;1000197
7;32;set0_get_3;127.0.0.1;1102;40;119;1000174
8;32;set0_get_3;127.0.0.1;1102;38;119;1000173
9;32;set0_get_3;127.0.0.1;1102;39;98;1000177
10;32;set0_get_3;127.0.0.1;1102;39;114;1000172
11;32;set0_get_3;127.0.0.1;1102;36;90;1000175
12;32;set0_get_3;127.0.0.1;1102;26;54;1000135
13;32;set0_get_3;127.0.0.1;1102;171;192;1000302
13;0;OFFLINE;127.0.0.1;1102;90;192;1000190
22;32;set0_get_3;127.0.0.1;1101;1222192;61;2223160
23;32;set0_get_3;127.0.0.1;1101;41;33;1000081
24;32;set0_get_3;127.0.0.1;1101;13;65;1000107
