SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_5;127.0.0.1;1102;698;174;811
2;32;set0_get_5;127.0.0.1;1102;28;179;1000146
3;32;set0_get_5;127.0.0.1;1102;28;176;1000141
4;32;set0_get_5;127.0.0.1;1102;29;210;1000178
5;32;set0_get_5;127.0.0.1;1102;29;221;1000150
6;32;set0_get_5;127.0.0.1;1102;28;219;1000148
7;32;set0_get_5;127.0.0.1;1102;28;212;1000150
8;32;set0_get_5;127.0.0.1;1102;27;223;1000149
9;32;set0_get_5;127.0.0.1;1102;31;204;1000144
10;32;set0_get_5;127.0.0.1;1102;28;200;1000176
11;32;set0_get_5;127.0.0.1;1102;19;190;1000118
12;32;set0_get_5;127.0.0.1;1102;28;199;1000170
12;0;OFFLINE;127.0.0.1;1102;78;199;1000178
22;32;set0_get_5;127.0.0.1;1101;1214400;45;2218355
23;32;set0_get_5;127.0.0.1;1101;13;133;1000219
24;32;set0_get_5;127.0.0.1;1101;11;89;1000108
