SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_8;127.0.0.1;1102;893;116;954
2;32;set0_get_8;127.0.0.1;1102;35;164;1000172
3;32;set0_get_8;127.0.0.1;1102;34;180;1000215
4;32;set0_get_8;127.0.0.1;1102;117;37;1000210
5;32;set0_get_8;127.0.0.1;1102;18;61;1000111
6;32;set0_get_8;127.0.0.1;1102;33;147;1000169
7;32;set0_get_8;127.0.0.1;1102;39;158;1000242
8;32;set0_get_8;127.0.0.1;1102;31;209;1000183
9;32;set0_get_8;127.0.0.1;1102;16;153;1000098
10;32;set0_get_8;127.0.0.1;1102;14;153;1000123
11;32;set0_get_8;127.0.0.1;1102;17;49;1000190
11;0;OFFLINE;127.0.0.1;1102;44;49;1000117
22;32;set0_get_8;127.0.0.1;1101;700019;28;1700440
23;32;set0_get_8;127.0.0.1;1101;336;101;1000431
24;32;set0_get_8;127.0.0.1;1101;156;96;1000194
