SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_0;127.0.0.1;1102;740;103;882
2;32;set0_get_0;127.0.0.1;1102;33;428;1000745
3;32;set0_get_0;127.0.0.1;1102;42;830;1000191
4;32;set0_get_0;127.0.0.1;1102;43;589;1000187
5;32;set0_get_0;127.0.0.1;1102;41;360;1000179
6;32;set0_get_0;127.0.0.1;1102;50;152;1000216
7;32;set0_get_0;127.0.0.1;1102;197;200;1000349
8;32;set0_get_0;127.0.0.1;1102;15;167;1000116
9;32;set0_get_0;127.0.0.1;1102;165;168;1000302
10;32;set0_get_0;127.0.0.1;1102;31;240;1000225
11;32;set0_get_0;127.0.0.1;1102;130;172;1000376
12;32;set0_get_0;127.0.0.1;1102;37;118;1000161
13;32;set0_get_0;127.0.0.1;1102;241;214;1000510
14;32;set0_get_0;127.0.0.1;1102;82;129;1000222
15;32;set0_get_0;127.0.0.1;1102;248;221;1000476
15;0;OFFLINE;127.0.0.1;1102;91;221;1000204
22;32;set0_get_0;127.0.0.1;1101;734184;24;1735411
23;32;set0_get_0;127.0.0.1;1101;13;181;1000304
24;32;set0_get_0;127.0.0.1;1101;13;167;1000144
