SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_9;127.0.0.1;1102;839;60;899
2;32;set0_get_9;127.0.0.1;1102;39;109;1000177
3;32;set0_get_9;127.0.0.1;1102;713;157;1000823
4;32;set0_get_9;127.0.0.1;1102;16;168;1000136
5;32;set0_get_9;127.0.0.1;1102;37;157;1000176
6;32;set0_get_9;127.0.0.1;1102;26;77;1000133
7;32;set0_get_9;127.0.0.1;1102;22;67;1000145
8;32;set0_get_9;127.0.0.1;1102;20;68;1000139
9;32;set0_get_9;127.0.0.1;1102;115;138;1000281
10;32;set0_get_9;127.0.0.1;1102;18;99;1000146
10;0;OFFLINE;127.0.0.1;1102;88;99;1000185
22;32;set0_get_9;127.0.0.1;1101;1185371;46;2186350
23;32;set0_get_9;127.0.0.1;1101;188;78;1000291
24;32;set0_get_9;127.0.0.1;1101;12;122;1000107
