SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_2;127.0.0.1;1102;740;61;890
2;32;set0_get_2;127.0.0.1;1102;34;64;1000180
3;32;set0_get_2;127.0.0.1;1102;41;82;1000216
4;32;set0_get_2;127.0.0.1;1102;173;112;1000302
5;32;set0_get_2;127.0.0.1;1102;233;211;1000463
6;32;set0_get_2;127.0.0.1;1102;31;147;1000179
7;32;set0_get_2;127.0.0.1;1102;16;34;1000125
8;32;set0_get_2;127.0.0.1;1102;91;118;1000252
9;32;set0_get_2;127.0.0.1;1102;31;108;1000204
10;32;set0_get_2;127.0.0.1;1102;29;151;1000158
11;32;set0_get_2;127.0.0.1;1102;32;226;1000221
12;32;set0_get_2;127.0.0.1;1102;15;141;1000130
13;32;set0_get_2;127.0.0.1;1102;73;70;1000134
14;32;set0_get_2;127.0.0.1;1102;44;83;1000226
14;0;OFFLINE;127.0.0.1;1102;82;83;1000166
22;32;set0_get_2;127.0.0.1;1101;724632;25;1727636
23;32;set0_get_2;127.0.0.1;1101;55;36;1000137
24;32;set0_get_2;127.0.0.1;1101;13;53;1000088
