SEQ;BYTES;NAME;SETTER_IP;SETTER_PORT;RCV;DEL;ELA
1;32;set0_get_7;127.0.0.1;1102;841;57;896
2;32;set0_get_7;127.0.0.1;1102;33;222;1000308
3;32;set0_get_7;127.0.0.1;1102;30;225;1000189
4;32;set0_get_7;127.0.0.1;1102;31;215;1000159
5;32;set0_get_7;127.0.0.1;1102;30;202;1000179
6;32;set0_get_7;127.0.0.1;1102;29;198;1000203
7;32;set0_get_7;127.0.0.1;1102;30;224;1000217
8;32;set0_get_7;127.0.0.1;1102;19;109;1000101
9;32;set0_get_7;127.0.0.1;1102;166;184;1000273
10;32;set0_get_7;127.0.0.1;1102;39;148;1000157
11;32;set0_get_7;127.0.0.1;1102;14;116;1000101
11;0;OFFLINE;127.0.0.1;1102;87;116;1000186
22;32;set0_get_7;127.0.0.1;1101;1202409;44;2203345
23;32;set0_get_7;127.0.0.1;1101;12;65;1000087
24;32;set0_get_7;127.0.0.1;1101;13;52;1000089
